question,type
What is the release clause of a player who has a value of 1.85E8?,Pathfinding Queries
What is the overall rating of a player who has a best overall rating of 72.0?,Pathfinding Queries
What is the potential of a player who has an overall rating above 80?,Pathfinding Queries
What is the name of a player who has a role of Central Attacking Midfielder and has a performance with an overall rating of 72.0?,Pathfinding Queries
What is the value of a player who plays for a club named Querétaro and has an overall rating above 80?,Pathfinding Queries
What is the overall rating of a player who plays as a CAM and has an overall rating of 70.0?,Pathfinding Queries
What is the wage of a player who has a potential of 83.0 and plays for a club named Querétaro?,Pathfinding Queries
What is the best overall rating of a player who has a value of 4100000.0 and plays as a CAM?,Pathfinding Queries
What is the age of a player who has an overall rating above 80?,Pathfinding Queries
What is the name of a player who has an overall rating of 78.0 and plays as a Right?,Pathfinding Queries
What is the type of foot used by a player who has an overall rating of 78.0 and plays for a club named Querétaro?,Pathfinding Queries
What is the name of a player who has a role of Central Attacking Midfielder and has a performance with an overall rating of 72.0 and plays for a club named Querétaro?,Pathfinding Queries
What is the value of a player who plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM?,Pathfinding Queries
What is the overall rating of a player who plays as a CAM and has an overall rating of 70.0 and plays for a club named Querétaro?,Pathfinding Queries
What is the wage of a player who has a potential of 83.0 and plays for a club named Querétaro and has an overall rating above 80?,Pathfinding Queries
What is the best overall rating of a player who has a value of 4100000.0 and plays as a CAM and plays for a club named Querétaro?,Pathfinding Queries
What is the age of a player who has an overall rating above 80 and plays for a club named Querétaro?,Pathfinding Queries
What is the name of a player who has an overall rating of 78.0 and plays as a Right and plays for a club named Querétaro?,Pathfinding Queries
What is the type of foot used by a player who has an overall rating of 78.0 and plays for a club named Querétaro and has an overall rating above 80?,Pathfinding Queries
What is the name of a player who has a role of Central Attacking Midfielder and has a performance with an overall rating of 72.0 and plays for a club named Querétaro and has an overall rating above 80?,Pathfinding Queries
What is the value of a player who plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0?,Pathfinding Queries
What is the overall rating of a player who plays as a CAM and has an overall rating of 70.0 and plays for a club named Querétaro and has an overall rating above 80?,Pathfinding Queries
What is the wage of a player who has a potential of 83.0 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM?,Pathfinding Queries
What is the best overall rating of a player who has a value of 4100000.0 and plays as a CAM and plays for a club named Querétaro and has an overall rating above 80?,Pathfinding Queries
What is the age of a player who has an overall rating above 80 and plays for a club named Querétaro and has an overall rating above 80?,Pathfinding Queries
What is the name of a player who has an overall rating of 78.0 and plays as a Right and plays for a club named Querétaro and has an overall rating above 80?,Pathfinding Queries
What is the type of foot used by a player who has an overall rating of 78.0 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM?,Pathfinding Queries
What is the name of a player who has a role of Central Attacking Midfielder and has a performance with an overall rating of 72.0 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM?,Pathfinding Queries
What is the value of a player who plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM?,Pathfinding Queries
What is the overall rating of a player who plays as a CAM and has an overall rating of 70.0 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM?,Pathfinding Queries
What is the wage of a player who has a potential of 83.0 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0?,Pathfinding Queries
What is the best overall rating of a player who has a value of 4100000.0 and plays as a CAM and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM?,Pathfinding Queries
What is the age of a player who has an overall rating above 80 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM?,Pathfinding Queries
What is the name of a player who has an overall rating of 78.0 and plays as a Right and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM?,Pathfinding Queries
What is the type of foot used by a player who has an overall rating of 78.0 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0?,Pathfinding Queries
What is the name of a player who has a role of Central Attacking Midfielder and has a performance with an overall rating of 72.0 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0?,Pathfinding Queries
What is the value of a player who plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0?,Pathfinding Queries
What is the overall rating of a player who plays as a CAM and has an overall rating of 70.0 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0?,Pathfinding Queries
What is the wage of a player who has a potential of 83.0 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0?,Pathfinding Queries
What is the best overall rating of a player who has a value of 4100000.0 and plays as a CAM and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0?,Pathfinding Queries
What is the age of a player who has an overall rating above 80 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0?,Pathfinding Queries
What is the name of a player who has an overall rating of 78.0 and plays as a Right and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0?,Pathfinding Queries
What is the type of foot used by a player who has an overall rating of 78.0 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM?,Pathfinding Queries
What is the name of a player who has a role of Central Attacking Midfielder and has a performance with an overall rating of 72.0 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM?,Pathfinding Queries
What is the value of a player who plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM?,Pathfinding Queries
What is the overall rating of a player who plays as a CAM and has an overall rating of 70.0 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0?,Pathfinding Queries
What is the wage of a player who has a potential of 83.0 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0?,Pathfinding Queries
What is the best overall rating of a player who has a value of 4100000.0 and plays as a CAM and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM?,Pathfinding Queries
What is the age of a player who has an overall rating above 80 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0?,Pathfinding Queries
What is the name of a player who has an overall rating of 78.0 and plays as a Right and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM?,Pathfinding Queries
What is the type of foot used by a player who has an overall rating of 78.0 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0?,Pathfinding Queries
What is the name of a player who has a role of Central Attacking Midfielder and has a performance with an overall rating of 72.0 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM?,Pathfinding Queries
What is the value of a player who plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM?,Pathfinding Queries
What is the overall rating of a player who plays as a CAM and has an overall rating of 70.0 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM?,Pathfinding Queries
What is the wage of a player who has a potential of 83.0 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0?,Pathfinding Queries
What is the best overall rating of a player who has a value of 4100000.0 and plays as a CAM and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM?,Pathfinding Queries
What is the age of a player who has an overall rating above 80 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM?,Pathfinding Queries
What is the name of a player who has an overall rating of 78.0 and plays as a Right and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0?,Pathfinding Queries
What is the type of foot used by a player who has an overall rating of 78.0 and plays for a club named Querétaro and has an overall rating above 80 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM and has an overall rating of 70.0 and plays as a CAM?,Pathfinding Queries
What are the names of all players who play for a club with a name starting with 'Qu'? ,Complex Aggregation Queries
Which players have an overall rating above 70 and a potential above 80?,Complex Aggregation Queries
What is the average age of all players who play as a CAM in the 'Prime' age group?,Complex Aggregation Queries
Which players have a wage above 50000 and a release clause above 0?,Complex Aggregation Queries
What are the names of all players who have a value above 500000?,Complex Aggregation Queries
Which players have an overall rating above 60 and a potential above 70?,Complex Aggregation Queries
What is the total value of all players who have a wage above 50000?,Complex Aggregation Queries
Which players have a release clause above 500000?,Complex Aggregation Queries
What are the names of all players who play with their right foot?,Complex Aggregation Queries
Which players have an overall rating above 80 and a potential above 90?,Complex Aggregation Queries
What is the average overall rating of all players who have a value above 1000000?,Complex Aggregation Queries
Which players have an overall rating above 80?,Verbose query
What is the average age of players who play as CAM?,Verbose query
Which clubs have at least 2 players with an overall rating above 85?,Verbose query
What is the value of the player with the highest overall rating?,Verbose query
Which players have a potential rating above 90?,Verbose query
What is the average wage of players who play as defenders?,Verbose query
Which players have a release clause below 1M?,Verbose query
What is the number of players who have an overall rating above 75 and are under 25 years old?,Verbose query
Which clubs have at least 1 player with a value above 1M?,Verbose query
What is the average overall rating of players who play as goalkeepers?,Verbose query
Which players have a name that starts with 'M'?,Verbose query
What is the number of players who have a potential rating above 85 and are over 30 years old?,Verbose query
Which clubs have at least 1 player with a release clause above 5M?,Verbose query
What is the average value of players who play as midfielders?,Verbose query
Which players have a wage above 50K?,Verbose query
What is the number of players who have an overall rating above 80 and are teenagers?,Verbose query
Which clubs have at least 1 player with a performance rating above 80?,Verbose query
What is the average potential rating of players who play as forwards?,Verbose query
Which players have a name that ends with 'o'?,Verbose query
What is the number of players who have a value above 500K and are over 25 years old?,Verbose query
Which clubs have at least 1 player with a role as Central Attacking Midfielder?,Verbose query
What is the average overall rating of players who play as wingers?,Verbose query
Which players have a release clause below 500K?,Verbose query
What is the number of players who have a potential rating above 80 and are veterans?,Verbose query
Which clubs have at least 1 player with a financial value above 10M?,Verbose query
What is the average wage of players who play as goalkeepers?,Verbose query
Which players have a name that contains the letter 'T'?,Verbose query
What is the number of players who have an overall rating above 75 and are under 20 years old?,Verbose query
Which clubs have at least 1 player with a performance rating above 85?,Verbose query
What is the average value of players who play as defenders?,Verbose query
Which players have a potential rating above 85?,Verbose query
What is the number of players who have a wage above 20K?,Verbose query
Which clubs have at least 1 player with a role as Central Defensive Midfielder?,Verbose query
What is the average overall rating of players who play as midfielders?,Verbose query
Which players have a release clause above 1M?,Verbose query
What is the number of players who have an overall rating above 80 and are young adults?,Verbose query
Which clubs have at least 1 player with a financial value above 5M?,Verbose query
What is the average potential rating of players who play as goalkeepers?,Verbose query
Which players have a name that starts with the letter 'S'?,Verbose query
What is the number of players who have a value above 1M and are over 25 years old?,Verbose query
Which clubs have at least 1 player with a performance rating above 80?,Verbose query
What is the average overall rating of players who play as forwards?,Verbose query
Which players have a release clause below 1M?,Verbose query
What is the number of players who have a potential rating above 85 and are teenagers?,Verbose query
Which clubs have at least 1 player with a role as Left Winger?,Verbose query
What is the average wage of players who play as midfielders?,Verbose query
Which players have a name that ends with 'o'?,Verbose query
What is the number of players who have an overall rating above 75 and are veterans?,Verbose query
Which clubs have at least 1 player with a financial value above 10M?,Verbose query
What is the average overall rating of players who play as wingers?,Verbose query
Which players have a potential rating above 90?,Verbose query
What is the number of players who have a value above 500K and are young adults?,Verbose query
Which clubs have at least 1 player with a performance rating above 85?,Verbose query
What is the average value of players who play as goalkeepers?,Verbose query
Which players have a release clause above 5M?,Verbose query
What is the number of players who have an overall rating above 80 and are over 30 years old?,Verbose query
Which clubs have at least 1 player with a role as Right Back?,Verbose query
What is the average overall rating of players who play as midfielders?,Verbose query
Which players have a name that contains the letter 'T'?,Verbose query
What is the number of players who have a potential rating above 80 and are teenagers?,Verbose query
Which clubs have at least 1 player with a financial value above 5M?,Verbose query
What is the average overall rating of players who play as defenders?,Verbose query
Which players have a release clause below 500K?,Verbose query
What is the number of players who have an overall rating above 75 and are under 25 years old?,Verbose query
Which clubs have at least 1 player with a performance rating above 80?,Verbose query
What is the average value of players who play as forwards?,Verbose query
Which players have a potential rating above 85?,Verbose query
What is the number of players who have a wage above 20K?,Verbose query
Which clubs have at least 1 player with a role as Central Defensive Midfielder?,Verbose query
What is the average overall rating of players who play as wingers?,Verbose query
Which players have a release clause above 1M?,Verbose query
What is the number of players who have an overall rating above 80 and are veterans?,Verbose query
Which clubs have at least 1 player with a financial value above 10M?,Verbose query
What is the average overall rating of players who play as goalkeepers?,Verbose query
Which players have a name that starts with the letter 'S'?,Verbose query
What is the number of players who have a value above 1M and are over 25 years old?,Verbose query
Which clubs have at least 1 player with a performance rating above 85?,Verbose query
What is the average potential rating of players who play as forwards?,Verbose query
Which players have a release clause below 1M?,Verbose query
What is the number of players who have a potential rating above 85 and are teenagers?,Verbose query
Which clubs have at least 1 player with a role as Left Winger?,Verbose query
What is the average wage of players who play as midfielders?,Verbose query
Which players have a name that ends with 'o'?,Verbose query
What is the number of players who have an overall rating above 75 and are veterans?,Verbose query
Which clubs have at least 1 player with a financial value above 10M?,Verbose query
What is the average overall rating of players who play as wingers?,Verbose query
Which players have a potential rating above 90?,Verbose query
What is the number of players who have a value above 500K and are young adults?,Verbose query
Which clubs have at least 1 player with a performance rating above 85?,Verbose query
What is the average value of players who play as goalkeepers?,Verbose query
Which players have a release clause above 5M?,Verbose query
What is the number of players who have an overall rating above 80 and are over 30 years old?,Verbose query
Which clubs have at least 1 player with a role as Right Back?,Verbose query
What is the average overall rating of players who play as midfielders?,Verbose query
Which players have a name that contains the letter 'T'?,Verbose query
What is the number of players who have a potential rating above 80 and are teenagers?,Verbose query
Which clubs have at least 1 player with a financial value above 5M?,Verbose query
What is the average overall rating of players who play as defenders?,Verbose query
Which players have a release clause below 500K?,Verbose query
What is the number of players who have an overall rating above 75 and are under 25 years old?,Verbose query
Which clubs have at least 1 player with a performance rating above 80?,Verbose query
What is the average value of players who play as forwards?,Verbose query
Which players have a potential rating above 85?,Verbose query
What is the number of players who have a wage above 20K?,Verbose query
Which clubs have at least 1 player with a role as Central Defensive Midfielder?,Verbose query
